Date,Open,High,Low,Close,Adj Close,Volume
2006-10-02,2.682143,2.709643,2.653571,2.673571,2.302917,712639200
2006-10-03,2.658929,2.676786,2.613929,2.645714,2.278921,790708800
2006-10-04,2.646429,2.695000,2.612857,2.692143,2.318914,829082800
2006-10-05,2.661786,2.720000,2.647500,2.672500,2.301993,683883200
2006-10-06,2.657857,2.680000,2.636071,2.650714,2.283228,466958800
2006-10-09,2.635714,2.681429,2.626071,2.665357,2.295841,438222400
2006-10-10,2.662143,2.663571,2.610000,2.636071,2.270615,531588400
2006-10-11,2.622143,2.642143,2.592857,2.615357,2.252772,571855200
2006-10-12,2.628929,2.692500,2.628571,2.687857,2.315221,592855200
2006-10-13,2.701071,2.745714,2.669286,2.679286,2.307840,684196800
2006-10-16,2.685357,2.710000,2.671071,2.692857,2.319528,508692800
2006-10-17,2.680000,2.688214,2.644286,2.653214,2.285382,480925200
2006-10-18,2.669643,2.691786,2.639643,2.661786,2.292766,1133907600
2006-10-19,2.830714,2.855357,2.791429,2.821071,2.429967,1512977200
2006-10-20,2.820357,2.856786,2.809643,2.855357,2.459500,639413600
2006-10-23,2.856786,2.925000,2.848214,2.909286,2.505953,832507200
2006-10-24,2.900357,2.917143,2.864286,2.894643,2.493340,463212400
2006-10-25,2.905357,2.928571,2.893214,2.917143,2.512720,485214800
2006-10-26,2.925000,2.950000,2.897500,2.935357,2.528409,432756800
2006-10-27,2.919643,2.944643,2.857500,2.871786,2.473652,594966400
2006-10-30,2.856786,2.889286,2.839286,2.872143,2.473958,499917600
2006-10-31,2.908929,2.917143,2.865357,2.895714,2.494262,501474400
2006-11-01,2.896429,2.906429,2.798571,2.827143,2.435197,611192400
2006-11-02,2.818571,2.832857,2.803571,2.820714,2.429661,465483200
2006-11-03,2.834286,2.840357,2.778214,2.796071,2.408433,431888800
2006-11-06,2.819643,2.859286,2.801071,2.846786,2.452118,434576800
2006-11-07,2.873214,2.892857,2.861786,2.875357,2.476727,525932400
2006-11-08,2.857857,2.953214,2.853214,2.944643,2.536408,690916800
2006-11-09,2.960714,3.024643,2.932857,2.976429,2.563787,923053600
2006-11-10,2.983929,2.985714,2.946429,2.968571,2.557019,373864400
2006-11-13,2.972143,3.016071,2.951429,3.012500,2.594857,450674000
2006-11-14,3.028571,3.035714,2.996429,3.035714,2.614853,588954800
2006-11-15,3.037500,3.067857,3.000000,3.001786,2.585629,655323200
2006-11-16,3.031071,3.082143,3.022143,3.057500,2.633619,693940800
2006-11-17,3.040714,3.069286,3.035714,3.066071,2.641002,466424000
2006-11-20,3.050000,3.107143,3.042857,3.088214,2.660075,570794000
2006-11-21,3.122143,3.164286,3.111071,3.164286,2.725600,622666800
2006-11-22,3.178214,3.241071,3.137500,3.225357,2.778205,671941200
2006-11-24,3.197500,3.324286,3.196429,3.272500,2.818811,518677600
2006-11-27,3.303929,3.327143,3.196429,3.197857,2.754517,1074836000
